,lh.01-1,rh.01-1,lh.02-1,rh.02-1,lh.03-1,rh.03-1,lh.04-1,rh.04-1,lh.05-1,rh.05-1,lh.06-1,rh.06-1,lh.06-2,rh.06-2,lh.07-1,rh.07-1,lh.07-2,rh.07-2,lh.07-3,rh.07-3,lh.08-1,rh.08-1,lh.08-2,rh.08-2,lh.08-3,rh.08-3,lh.09-1,rh.09-1,lh.10-1,rh.10-1,lh.11-1,rh.11-1,lh.12-1,rh.12-1,lh.12-2,rh.12-2,lh.12-3,lh.13-1,rh.13-1,lh.13-2,rh.13-2,rh.13-3,rh.13-4,lh.14-1,rh.14-1,lh.15-1,rh.15-1,lh.16-1,rh.16-1,lh.16-2,rh.16-2,lh.16-3,rh.16-3,lh.16-4,rh.16-4,lh.17-1,rh.17-1,lh.17-2,rh.17-2,lh.17-3,rh.17-3,lh.17-4
lh.01-1,1.0,0.8815156230865674,-0.04269917323291954,-0.07443650250797158,-0.34284903680344864,-0.1694981815958876,-0.37304985766371174,-0.36172563388223217,0.4316193390773967,0.4187077311600308,-0.08463372404226989,-0.03146065809146384,-0.07703516463775949,-0.03795019749513317,-0.33364783869380527,-0.28816625316891004,-0.36606469921710566,-0.32567970202398105,-0.19677013981555855,-0.14456572960695802,-0.3668178243415833,-0.38875611064295723,-0.35252879389548275,-0.3639820666701727,-0.34152443984631636,-0.3504521561224354,-0.0715612625014986,-0.05132856105358534,-0.12296982731347965,-0.08340086881859247,-0.38326311236356175,-0.317066575085262,-0.04979320685058783,0.02690159964522302,-0.1443350687451904,-0.1412534741641005,0.11924958568332608,-0.261589211997275,-0.2727009368756671,-0.37002089186286025,-0.3279674147515888,-0.3271862381122047,-0.10332604319905397,-0.024660537802404413,-0.012671824212162073,-0.044645911632134605,0.008508391172692134,-0.269107377457437,-0.23709644551976847,-0.19693085891513953,-0.18302901639734828,-0.3002072264084454,-0.10664189783628884,-0.16225426793436745,-0.2325012836628445,-0.09978116168573048,-0.16164877279245152,-0.206378675307386,-0.21260082909460742,-0.14276965117770862,-0.2043259283509908,-0.21928294417921393
rh.01-1,0.8815156230865674,1.0,0.013073433404880248,0.033732970934629375,-0.35150940477391257,-0.1620055170353677,-0.33324383806147073,-0.33747573858669017,0.43195310294224676,0.5199162969519634,-0.035720222960779695,0.03681378421014683,-0.049187389055341216,-0.001363322382317692,-0.28414536292362547,-0.2471657029336148,-0.3610355337393527,-0.2741509446397455,-0.14239152320990858,-0.0704519167748235,-0.3586254254316715,-0.40217347104774,-0.3022860708465425,-0.33998914644612255,-0.31593109857499535,-0.34337876825211244,-0.11209178220596938,-0.057486840298501395,-0.13700344614541712,-0.10693293715792707,-0.3984111517040326,-0.33415900547821314,-0.11269718463169959,-0.036908559858361174,-0.14427741655504975,-0.18968297630979278,0.08463270314002241,-0.3242299498073532,-0.33288629305436396,-0.3743217244318983,-0.4059594049219745,-0.396053045951007,-0.15246342120179407,-0.11267922169152383,-0.05638274570429938,-0.012046266869886179,0.008118248768260287,-0.2867634723173275,-0.27188172417771067,-0.21779734637443293,-0.20814722991513127,-0.33824616768254545,-0.17352988717540702,-0.224436179093518,-0.2779541687562726,-0.21296398402759217,-0.26291541093342025,-0.27336960968920143,-0.26645644407668956,-0.1742217607666388,-0.22357186298644835,-0.2736259757909038
lh.02-1,-0.04269917323291954,0.013073433404880248,1.0,0.8133938710641635,-0.006940420056820965,-0.03937458856746426,-0.01977327045790727,0.00709857812303964,-0.1473741922997464,-0.10416408339600464,-0.023796431071156646,-0.0730488016688971,-0.1270982716470474,-0.0944094839660859,0.030660930487735195,0.10899194177022593,0.13901125544112117,0.08162437996598353,-0.02920129841117635,-0.021835191312658448,0.14982222919646038,0.09697425036835267,0.030046072185727017,0.04660089153869678,0.10697467823664865,0.07486986173985391,-0.20436828668721577,-0.18849094220893925,-0.07875733454599765,-0.121606109382818,0.048996716277525575,0.05077549697246776,-0.2848371062826209,-0.242099083630534,-0.1454167066802014,0.021734819496168036,-0.1642438086916791,-0.15822285563887034,-0.15047424955524366,-0.13900604432494407,-0.21045459163002897,-0.13244348420067495,-0.0868952266605218,-0.18408970466346775,-0.06551450697844236,-0.01575212717489361,0.019046775488372046,-0.017265420915510074,-0.04281508693094646,-0.0955011231211736,-0.06023465281600937,-0.08737597259415368,-0.21542900396440165,-0.23987596826804714,-0.09367851005845747,-0.2404547484479731,-0.19072066305017718,-0.15172415387946853,-0.12450836502978062,-0.17991168857266218,-0.04470610127853413,-0.20955650965138398
rh.02-1,-0.07443650250797158,0.033732970934629375,0.8133938710641635,1.0,-0.027323934398893343,-0.02360806677546811,-0.017577379431265326,-0.014632277080050493,-0.17350127954942685,-0.09471661948001439,-0.06621252222034035,-0.1083452504535413,-0.17041190992947744,-0.04618233837231228,0.03759659639483277,0.11944086154443564,0.12855029598651171,0.07006819024374168,-0.034760253165242366,-0.03736774025095174,0.16690016624437568,0.12317781320817908,0.005025703592928182,-0.002802095221095407,0.1178943308583951,0.10500828318931156,-0.19322597134228633,-0.13435744147570322,-0.045523318649476736,-0.07632207901449821,0.11997557387616535,0.12080916514512238,-0.2789368632581564,-0.26398122558115134,-0.11487303904546733,-0.0013517508655523202,-0.1265157778647478,-0.11655475240342618,-0.1728679909042693,-0.07839983359230263,-0.19344369572598566,-0.12686576146203216,-0.18529140171433262,-0.19544819769867802,-0.057292651826969014,-0.020848242038056512,0.03761325812577687,-0.01960808174140148,-0.030688773697679923,-0.05939147758339658,-0.033519106007671,-0.04057052527450565,-0.1844575160012282,-0.24495567184483866,-0.0611511510952837,-0.2551006597941375,-0.16940154699076482,-0.2244469459006139,-0.1727038772127807,-0.2504546456676625,-0.09079760581198132,-0.21667443982458426
lh.03-1,-0.34284903680344864,-0.35150940477391257,-0.006940420056820965,-0.027323934398893343,1.0,0.5531825315760559,0.5287873486262179,0.5034025174048204,-0.1571540867298777,-0.18500804354591455,0.17751491515883072,0.1718364316231093,0.23703654151008247,0.19415672353759011,0.2340961331323062,0.31694350613514943,0.3607123353468973,0.19644895716625077,0.07140929503310227,0.11178569528184996,0.03287394050895264,-0.04651038439095007,0.057434617101975664,0.017853700094224767,0.09441794914103618,-0.015752176152188452,0.018499592670674338,-0.07048241878099996,0.020065324843968533,-0.09129165020405376,-0.13366670554011048,-0.22654761835823958,0.006871190179656484,-0.15432618540837204,-0.07580933797752078,-0.1811040076556712,-0.12409579716305962,-0.006220847822165292,-0.15967505221754444,-0.07406458683393417,-0.1752807568083758,-0.259706405525923,-0.15471474722807171,0.1042084970696381,-0.0353816681764344,-0.04038214534270453,-0.1329608330876091,-0.01688203288309528,-0.08192574281743856,-0.08313777820763739,-0.16656309262217545,0.01030970418005095,-0.14645063606315908,-0.033931218124478274,-0.15697187187690867,-0.015964496954662448,-0.14994427985014577,0.026579414366199452,-0.08910924988273779,-0.012675021873946889,-0.024643913106461864,0.013746803329635742
rh.03-1,-0.1694981815958876,-0.1620055170353677,-0.03937458856746426,-0.02360806677546811,0.5531825315760559,1.0,0.30221850996252,0.35479210465623595,-0.10118056628810068,-0.09523204438117597,0.09446207522092159,0.20407431570497556,0.16048843795314607,0.3119815906447097,0.12430906005594165,0.2872255018469001,0.178005089888224,0.19399284007934367,0.008877338380845647,0.009077911414399712,-0.1165024921010272,-0.1557857119901681,0.028074329481394496,-0.1193494139596146,0.006473870077152611,-0.09466591545528326,-0.03731145852677507,-0.13113691113449275,0.048485663325612334,-0.04143921468047606,-0.19720757580922926,-0.27664912039682776,-0.012899068738469124,-0.15408357287745686,-0.13409159898841164,-0.21995364929627287,-0.06123740499660887,-0.08201215164526517,-0.21158316886909162,-0.10092425885246141,-0.2736500223300423,-0.273157176528717,-0.14988295894709117,0.023948896372493256,-0.0824563652662437,-0.0747801662701359,-0.04131659784843078,-0.07126294407694568,-0.16480379645035045,-0.08767503503618794,-0.14572000974579044,-0.030256392069872424,-0.10801935395435672,-0.007582732179893607,-0.1819763226487797,-0.07438011850173697,-0.17751866153097604,-0.05668690495076182,-0.1440201186675793,-0.047434237218898855,-0.10387549355097868,-0.05883820750369592
lh.04-1,-0.37304985766371174,-0.33324383806147073,-0.01977327045790727,-0.017577379431265326,0.5287873486262179,0.30221850996252,1.0,0.8147288649745588,-0.22053343191221847,-0.24808101642483993,0.1805622790799668,0.10714512753758462,0.12690333957000843,0.11285471420980633,0.5013426368698004,0.3909980750558233,0.41172524607734656,0.3702629731479699,0.2743770021169785,0.24785319850407883,0.0619664196261538,0.04095242944934965,0.25109958262732684,0.20574634645225504,0.22354503454932803,0.14836050328247774,-0.023871287436267166,-0.103939476521279,0.007487634860202042,-0.019646521699130233,-0.11706306501485952,-0.16899358043559373,-0.07542711861321293,-0.2351960458980601,-0.07780309306363324,-0.17774980190783696,-0.16251047085345102,-0.029990779145188853,-0.1081097772048909,-0.013467988474560167,-0.07450856274543897,-0.15380329671223178,-0.168031164302866,0.06254917703207477,-0.056102656810348324,-0.09829355366871319,-0.1212574470098826,0.05524978178571975,0.037748114493871804,-0.14732849285070942,-0.1761442434318551,0.058879342884973054,-0.21743095406015972,-0.14739922680790707,-0.06178444775232336,-0.14642782926419243,-0.22807509470632364,0.0200640935772913,0.007277652352563266,0.0701141566918492,0.10179103911706777,-0.06909970153828195
rh.04-1,-0.36172563388223217,-0.33747573858669017,0.00709857812303964,-0.014632277080050493,0.5034025174048204,0.35479210465623595,0.8147288649745588,1.0,-0.23971793850755752,-0.2663613562194431,0.13405915491751505,0.07016487127990714,0.07043192089390315,0.07469245652336973,0.3908323547021543,0.3447667757350516,0.3615783407171358,0.3768758376960065,0.14436908940332932,0.1947892933415378,-0.02748774783386312,-0.04415086193464783,0.19971088190606215,0.15539881707112943,0.16035348962387655,0.05975732313504599,-0.01762264077754183,-0.052203521811798076,0.0672280584639735,0.0548657828441089,-0.10989120526725042,-0.19616526219951513,-0.11808476658545936,-0.23126716118878632,-0.10877369127072685,-0.17232002364459406,-0.17994219376153434,-0.02801497287206437,-0.1138258250879686,-0.015012110884508935,-0.09015075752832209,-0.12937553772502505,-0.13185460592793385,0.017619134605887654,-0.041965884930530474,-0.019781376655147457,-0.047197272599462506,0.05076828050701736,0.01767146220184453,-0.08799308112931982,-0.16091336038009563,0.08593676211119532,-0.1797485659720481,-0.07327848263152979,-0.021133497775749546,-0.08840024843632455,-0.17942669247979368,0.08483729680437206,0.029909085458991565,0.10006341427318695,0.12831772603793665,-0.031652589742868956
lh.05-1,0.4316193390773967,0.43195310294224676,-0.1473741922997464,-0.17350127954942685,-0.1571540867298777,-0.10118056628810068,-0.22053343191221847,-0.23971793850755752,1.0,0.8228972489690537,0.2830768016988023,0.36703266296263404,0.20129248176926015,0.250114392524874,-0.21766583430541755,-0.08242791970059599,-0.17196737532354628,-0.19338756904000742,-0.00837089220350475,0.05190476465820409,-0.3647738969910427,-0.3335516953864869,-0.24705894428797504,-0.242530393883829,-0.3779989622884418,-0.3141597619895217,0.015549075008312065,0.05561015890517513,-0.27016007595268415,-0.2041901736203199,-0.3366781454196768,-0.2813312505440126,0.15396227875685148,0.26742374080177955,0.11358699137666872,0.13188273567537423,0.34899939256459483,-0.37932247465604324,-0.33030925344251877,-0.3475325756341712,-0.2878118015652084,-0.2834753539063412,-0.040606113001983316,0.14435975454402408,0.1315112330803897,0.120275923880242,0.13356308510715734,-0.5188701114677927,-0.44698708539227433,-0.3941598563772258,-0.39911271768021533,-0.4284468481227932,-0.17518691265556258,-0.24996762592799168,-0.32525537845843466,-0.17577242342025123,-0.23762627900036068,-0.35987882548804506,-0.2991521564951161,-0.24517910778005558,-0.3026538809325275,-0.28276734083999083
rh.05-1,0.4187077311600308,0.5199162969519634,-0.10416408339600464,-0.09471661948001439,-0.18500804354591455,-0.09523204438117597,-0.24808101642483993,-0.2663613562194431,0.8228972489690537,1.0,0.22812832661133622,0.436738064144604,0.13384050831605745,0.2716096802135505,-0.2453442954244733,-0.0787633329847983,-0.21485881856592792,-0.17395839923212372,-0.037752661993494925,0.0976003352492165,-0.37981952777632383,-0.3242812846388351,-0.27821883351263454,-0.26520816637337746,-0.39542845830068774,-0.3242712889940024,-0.03420117099772332,0.05438958832997163,-0.26290645598379714,-0.17335050165209512,-0.3162953872719717,-0.22746232277495018,-0.02255372600511763,0.2757061176030593,-0.0054655040893378465,0.10560773660229253,0.20079229553586517,-0.4532292732909122,-0.3771162690275756,-0.4205493628272927,-0.32633859232590245,-0.3350775491782,-0.08218515318330698,0.034240497677867535,0.11641804480426676,0.0873755917950113,0.1344502939678638,-0.5268336196399509,-0.438727047227368,-0.3711892038792095,-0.3150932466634211,-0.4460849642803897,-0.11942716075483595,-0.2712660175258099,-0.2854850098092872,-0.1988368539352568,-0.2440674019946278,-0.3945221596559174,-0.29515037546681516,-0.30335449168383355,-0.2773782926268022,-0.2793810027679174
